status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
47217143218_10155753330463219,Gestern sprach Cem Özdemir vor mittelständischen Unternehmern über grüne Wirtschaftspolitik - und las nebenbei dem Maut-Minister Dobrindt die Leviten.,Cem Özdemir,video,https://www.facebook.com/Cem/videos/10154811300552881/,2017-02-14 13:27:52,491,66,0,462,12,2,13,0,2,B90DieGruenen
47217143218_10155752130898219,"Heute alle den Wahlkampfspot von Bündnis 90/Die Grünen Saarland mit Spitzenkandidatein Barbara Meyer-Gluche teilen und wer im Saarland wohnt, darf sie am 26. März auch wählen.",Barbara Meyer-Gluche,video,https://www.facebook.com/Barbara.Meyer.Gluche/videos/721957724644380/,2017-02-14 04:19:44,79,44,0,59,1,1,13,4,1,B90DieGruenen
47217143218_10155749623113219,Für einen fairen Bundestagswahlkampf 2017,,status,,2017-02-13 09:00:22,340,91,124,320,13,0,7,0,0,B90DieGruenen
47217143218_10155746670808219,"Als Abgesandte der Grünen nahm die Drag Queen Olivia Jones in der Bundesversammlung an der Wahl des Bundespräsidenten teil. Wir sind stolz und sagen: Gut, dass Deutschland so bunt ist!  Foto © Daniel Mack",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155746670808219/?type=3,2017-02-12 09:52:39,9001,429,537,8120,563,20,268,5,25,B90DieGruenen
47217143218_10155746512268219,"Wir gratulieren Frank-Walter Steinmeier ganz herzlich zu seiner Wahl zum Bundespräsidenten. In turbulenten Zeiten brauchen wir ein Staatsoberhaupt der Einigkeit, der Geschlossenheit, des Miteinander. Mit Frank-Walter Steinmeier zieht darüber hinaus ein überzeugter Europäer ins Schloss Bellevue ein. Wir wünschen viel Erfolg für die kommenden Jahre!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155746512268219/?type=3,2017-02-12 08:24:47,1452,101,359,1373,44,2,6,2,25,B90DieGruenen
47217143218_10155747055383219,"Bunt und vielfältig war die grüne Delegation zur Bundesversammlung heute aufgestellt. Mit dabei: Bundestrainer Jogi Löw, Komikerin Carolin Kebekus, Drag Queen Olivia Jones - und natürlich unser Spitzenduo.",Impressionen von der Bundesversammlung,photo,https://www.facebook.com/B90DieGruenen/photos/a.10155747053378219.1073741852.47217143218/10155747055383219/?type=3,2017-02-12 05:00:00,79,5,77,71,3,1,4,0,0,B90DieGruenen
47217143218_10155747054018219,Spitzenduo und Spitzen-Comedienne.,Impressionen von der Bundesversammlung,photo,https://www.facebook.com/B90DieGruenen/photos/a.10155747053378219.1073741852.47217143218/10155747054018219/?type=3,2017-02-11 14:14:00,106,14,0,94,6,0,5,0,1,B90DieGruenen
47217143218_10155740726408219,"Gegen Populismus hilft nur eins: Dein Engagement! Es ist Zeit, Farbe zu bekennen. Für unsere Demokratie, für die Umwelt, für ein offenes und soziales Miteinander. Es ist Zeit, grünes Mitglied zu werden. www.gruene.de/mitglied",,video,https://www.facebook.com/B90DieGruenen/videos/10155740726408219/,2017-02-11 03:45:00,2268,1627,858,1424,57,6,492,6,283,B90DieGruenen
47217143218_10155740475873219,"Afghanistan ist weiter Kriegsgebiet. Dahin darf die Bundesregierung nicht abschieben. Teilt das Zitat von Cem Özdemir und fordert die Bundesregierung auf, die Sicherheitslage neu zu bewerten!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155740475873219/?type=3,2017-02-10 08:57:45,766,125,494,718,16,3,15,5,9,B90DieGruenen
47217143218_10155740361223219,Dafür muss selbst in einem Wahljahr noch Zeit sein: Katrin Göring-Eckardt und Cem Özdemir bei der #Berlinale.,Katrin Göring-Eckardt,photo,https://www.facebook.com/GoeringEckardt/photos/a.85064160591.85774.60074915591/10154268616570592/?type=3,2017-02-10 08:01:05,364,61,0,338,12,3,3,0,8,B90DieGruenen
47217143218_10155737292088219,"Angst war noch nie ein guter Ratgeber. Lasst uns gemeinsam dafür kämpfen, dass auch unsere Kinder und Enkel in einer lebenswerten Welt aufwachsen. Teilt das Bild von Cem Özdemir und teilt die Hoffnung!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155737292088219/?type=3,2017-02-09 08:35:20,795,183,371,716,32,2,40,1,4,B90DieGruenen
47217143218_10155734374768219,,Claudia Roth,photo,https://www.facebook.com/Roth/photos/a.150878950663.153104.80635590663/10154796037475664/?type=3,2017-02-08 11:26:48,794,100,0,731,38,3,10,1,11,B90DieGruenen
47217143218_10155733781268219,,Cem Özdemir,photo,https://www.facebook.com/Cem/photos/a.95422057880.81867.36379612880/10154793755752881/?type=3,2017-02-08 07:39:13,388,35,0,371,12,0,3,1,1,B90DieGruenen
47217143218_10155727601943219,"Wir finden, es ist mal Zeit für gute Nachrichten: Seit dem 20. Oktober 2014 laufen sie durch Dresden und verbreiten fremdenfeindliche, rassistische und rechtspopulistische Parolen. Doch die kontinuierlich sinkenden Teilnehmerzahlen zeigen: Pegida geht die Luft aus! Teilt das Bild und verbreitet die gute Nachricht.",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155727601943219/?type=3,2017-02-06 11:09:26,2747,218,818,2577,96,8,58,5,3,B90DieGruenen
47217143218_10155726809178219,,Michael Kellner,photo,https://www.facebook.com/michael.kellner.524/photos/a.339113606250415.1073741828.337055499789559/724298294398609/?type=3,2017-02-06 05:58:28,974,255,0,821,8,15,35,24,71,B90DieGruenen
47217143218_10155721125133219,"Tolle Aktion aus Schweden: die grüne Ministerin Isabella Lövin unterzeichnet hier mit ihren Kabinettskolleginnen ein ambitioniertes Klimaschutzgesetz - und persifliert gleichzeitig Trump und seine Männerriege. Mit dem Gesetz verpflichtet sich Schweden, bis 2045 klimaneutral zu werden. Auf dem Original-Foto ist Trump zu sehen, wie er vor einigen Tagen per Unterschrift Gelder für Organisationen streicht, die Frauen in Abtreibungs- und Schwangerschaftsfragen beraten. Teilt das Bild für Klimaschutz und Frauenrechte!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155721125133219/?type=3,2017-02-04 11:48:32,4699,167,1512,4341,220,11,115,3,9,B90DieGruenen
47217143218_10155717135128219,"Gegen Populismus ist ein Kraut gewachsen: Dein Engagement! Es ist Zeit, Farbe zu bekennen. Für unsere Demokratie, für die Umwelt, für ein offenes und soziales Miteinander. Es ist Zeit, grünes Mitglied zu werden. www.gruene.de/mitglied",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155717135128219/?type=3,2017-02-04 04:13:01,759,159,320,699,26,3,27,1,3,B90DieGruenen
47217143218_10155717657058219,"Es ist unerträglich! Täglich wagen hunderte Männer, Frauen und Kinder die lebensgefährliche Fahrt über das Mittelmeer in überfüllten, oft kaputten Booten. Sie haben keine Alternative, um vor Krieg und Gewalt Schutz zu finden. Doch viele kommen nie an. Allein in den letzten drei Monaten sind 1354 Menschen auf dem Weg nach Europa ertrunken. Wir dürfen nicht länger zusehen! Teile das Bild und setze Dich mit uns für legale und sichere Fluchtwege ein.",Katrin Göring-Eckardt,photo,https://www.facebook.com/GoeringEckardt/photos/a.85064160591.85774.60074915591/10154251299870592/?type=3,2017-02-03 10:40:19,431,137,0,148,1,2,2,233,45,B90DieGruenen
47217143218_10155713504308219,"Angela Merkel reist heute in die Türkei und trifft dort Präsident Erdoğan. Dort und überall gilt: Dialog ist wichtig, aber kritiklose Kooperation darf das nicht bedeuten. Teilt das Zitat von Cem Özdemir und fordert die Kanzlerin auf, klar Haltung zu beziehen!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155713504308219/?type=3,2017-02-02 04:03:58,923,122,346,868,18,3,27,1,6,B90DieGruenen
